ZIP	COUNT	CITY	COUNTY
98310	29	Bremerton	Kitsap
99037	28	Veradale	Spokane
98402	28	Tacoma	Pierce
98404	28	Tacoma	Pierce
98233	27	Burlington	Skagit
98249	27	Freeland	Island
98409	27	Tacoma	Pierce
99156	27	Newport	Pend Oreille
98057	26		
98002	26	Auburn	King
98922	26	Cle Elum	Kittitas
98580	26	Roy	Pierce
98261	25	Lopez	San Juan
99344	25	Mattawa	Adams
98043	25	Mountlake Terrac	Snohomish
98327	24	Du Pont	Pierce
98232	24	Bow	Skagit
98014	24	Carnation	King
98405	24	Tacoma	Pierce
98403	24	Tacoma	Pierce
98257	23	La Conner	Skagit
98039	23	Medina	King
98862	23	Winthrop	Okanogan
98620	22	Goldendale	Klickitat
98816	22	Chelan	Chelan
98346	22	Kingston	Kitsap
98848	22	Quincy	Grant
98675	21	Yacolt	Clark
99003	21	Chattaroy	Spokane
98104	21	Seattle	King
99109	21	Chewelah	Stevens
98446	21	Parkland	Pierce
98520	21	Aberdeen	Grays Harbor
98408	21	Tacoma	Pierce
98648	20	Stevenson	Skamania
98349	20	Home	Pierce
98365	20	Port Ludlow	Jefferson
98528	20	Bear Creek	Mason
98815	19	Cashmere	Chelan
98625	19	Kalama	Cowlitz
98148	19	Normandy Park	King
99036	19	Valleyford	Spokane
99320	19	Benton City	Benton
98579	19	Rochester	Thurston
99204	19	Spokane	Spokane
98388	18	Steilacoom	Pierce
98424	18	Fife	Pierce
98856	17	Twisp	Okanogan
99025	17	Newman Lake	Spokane
98903	17	Union Gap	Yakima
98930	16	Grandview	Yakima
98380	16	Seabeck	Kitsap
98252	15	Granite Falls	Snohomish
99009	15	Elk	Spokane
98465	15	Tacoma	Pierce
98051	15	Ravensdale	King
98953	15	Zillah	Yakima
98354	14	Milton	Pierce
98601	14	Amboy	Clark
98443	14	Tacoma	Pierce
98591	14	Toledo	Lewis
98841	14	Omak	Okanogan
98569	13	Ocean City	Grays Harbor
99166	13	Republic	Ferry
99111	13	Colfax	Whitman
98247	13	Everson	Whatcom
99027	13	Otis Orchards	Spokane
98611	13	Castle Rock	Cowlitz
98294	12	Sultan	Snohomish
98576	12	Rainier	Thurston
98541	12	Elma	Grays Harbor
98937	12	White Pass	Yakima
98855	12	Tonasket	Okanogan
98612	11	Cathlamet	Wahkiakum
98546	11	Grapeview	Mason
98253	11	Greenbank	Island
99349	11	Zcta 99349	Grant
98596	11	Winlock	Lewis
98650	11	Trout Lake	Klickitat
99141	11	Kettle Falls	Stevens
98418	11		
98589	11	Tenino	Thurston
99323	10	Burbank	Walla Walla
98548	10	Hoodsport	Mason
98831	10	Manson	Chelan
98228	10		
98844	10	Oroville	Okanogan
99122	10	Davenport	Lincoln
98568	9	Oakville	Grays Harbor
98047	9	Pacific	King
98394	9	Vaughn	Pierce
98592	9	Union	Mason
98570	9	Onalaska	Lewis
98610	9	Carson	Skamania
98944	9	Sunnyside	Yakima
98635	9	Lyle	Klickitat
98550	9	Hoquiam	Grays Harbor
98281	9	Point Roberts	Whatcom
98337	9	Bremerton	Kitsap
98840	8	Okanogan	Okanogan
98651	8	Underwood	Skamania
98524	8	Allyn	Mason
98325	8	Chimacum	Jefferson
98850	8	Rock Island	Douglas
99143	8	Lacrosse	Whitman
98240	8	Custer	Whatcom
99185	8	Wilbur	Lincoln
98206	8		
98857	8	Warden	Grant
98563	8	Montesano	Grays Harbor
99357	8	Royal City	Grant
98640	8	Ocean Park	Pacific
98577	8	Raymond	Pacific
98439	8	Lakewood Center	Pierce
98339	7	Port Hadlock	Jefferson
98237	7	Concrete	Skagit
98951	7	Wapato	Yakima
98843	7	Orondo	Douglas
99148	7	Loon Lake	Stevens
98279	7	Olga	San Juan
98507	7		
99402	7	Asotin	Asotin
98244	7	Glacier	Whatcom
98376	7	Quilcene	Jefferson
98340	7	Hansville	Kitsap
99011	7	Fairchild Air Fo	Spokane
99169	7	Ritzville	Adams
99361	6	Waitsburg	Walla Walla
99328	6	Dayton	Columbia
99347	6	Pomeroy	Garfield
99130	6	Garfield	Whitman
98605	6	Cook	Klickitat
98557	6	Mc Cleary	Grays Harbor
98320	6	Brinnon	Jefferson
98687	6		
98645	6	Silverlake	Cowlitz
98936	6	Moxee	Yakima
98025	6	Hobart	King
98009	6		
98266	6		
98243	6	Deer Harbor	San Juan
98649	6	Toutle	Cowlitz
99158	6	Oakesdale	Whitman
98392	6	Suquamish	Kitsap
98251	6	Gold Bar	Snohomish
98438	6		
99360	6	Lowden	Walla Walla
99001	6	Airway Heights	Spokane
98433	6	Fort Lewis	Pierce
99133	5	Grand Coulee	Grant
98624	5	Ilwaco	Pacific
99139	5	Ione	Pend Oreille
99159	5	Odessa	Lincoln
98558	5		
98828	5	Malaga	Chelan
98295	5	Sumas	Whatcom
98358	5	Nordland	Jefferson
98847	5	Peshastin	Chelan
99171	5	Saint John	Whitman
98851	5	Soap Lake	Grant
98564	5	Mossyrock	Lewis
99110	5	Clayton	Stevens
99302	5		
98947	5	Tieton	Yakima
98858	4	Waterville	Douglas
98280	4	Orcas	San Juan
98331	4	Forks	Clallam
99161	4	Palouse	Whitman
98396	4	Wilkeson	Pierce
98565	4	Napavine	Lewis
98948	4	Toppenish	Yakima
98262	4	Lummi Island	Whatcom
98812	4	Brewster	Okanogan
99101	4	Addy	Stevens
99029	4	Reardan	Lincoln
99326	4	Connell	Franklin
99138	4	Inchelium	Ferry
98509	4		
98935	4	Mabton	Yakima
98351	4	Longbranch	Pierce
98639	4	North Bonneville	Skamania
98083	4		
98932	4	Granger	Yakima
99173	4	Springdale	Stevens
98822	4	Entiat	Chelan
98278	4		
98304	3	Ashford	Pierce
98595	3	Westport	Grays Harbor
98353	3	Manchester	Kitsap
98231	3		
98538	3	Curtis	Lewis
98050	3		
98015	3		
99343	3	Mesa	Franklin
98291	3		
99167	3	Rice	Stevens
98145	3		
98342	3	Indianola	Kitsap
98638	3	Naselle	Pacific
98138	3		
99335	3	Kahlotus	Franklin
98603	3	Ariel	Cowlitz
98124	3		
99157	3	Northport	Stevens
98073	3		
98241	3	Darrington	Snohomish
98227	3		
99124	3	Elmer City	Okanogan
98508	3		
98586	3	South Bend	Pacific
99126	3	Evans	Stevens
99209	3		
98377	3	Randle	Lewis
98934	3	Kittitas	Kittitas
98613	3	Centerville	Klickitat
99134	3	Harrington	Lincoln
98511	3		
98833	3	Mazama	Okanogan
99123	3	Electric City	Grant
98344	3		
99346	3	Plymouth	Benton
98356	3	Morton	Lewis
98943	3	South Cle Elum	Kittitas
98537	3	Cosmopolis	Grays Harbor
99031	3	Spangle	Spokane
98631	3	Long Beach	Pacific
98385	3	South Prairie	Pierce
98134	3	Seattle	King
98357	3	Neah Bay	Clallam
98542	3	Ethel	Lewis
98286	2	Shaw Island	San Juan
99341	2	Lind	Adams
99170	2	Rosalia	Whitman
98836	2	Monitor	Chelan
98395	2		
98417	2		
98814	2	Carlton	Okanogan
99013	2	Ford	Stevens
98238	2	Conway	Skagit
98139	2		
98127	2		
99119	2	Cusick	Pend Oreille
99348	2	Prescott	Walla Walla
99135	2	Hartline	Grant
98345	2	Keyport	Kitsap
99329	2	Dixie	Walla Walla
98846	2	Pateros	Okanogan
98068	2	Snoqualmie Pass	Kittitas
98807	2		
98303	2	Anderson Island	Pierce
98860	2	Wilson Creek	Grant
98666	2		
99330	2	Eltopia	Franklin
98644	2	Seaview	Pacific
99008	2	Edwall	Lincoln
98111	2		
98276	2		
98614	2	Chinook	Pacific
98852	2	Stehekin	Chelan
99128	2	Farmington	Whitman
99125	2	Endicott	Whitman
98267	2	Marblemount	Skagit
99117	2	Creston	Lincoln
99401	2	Anatone	Asotin
98940	2	Ronald	Kittitas
99102	2	Albion	Whitman
98315	2	Silverdale	Kitsap
98933	2	Harrah	Yakima
98617	2	Dallesport	Klickitat
98590	2	Tokeland	Pacific
98623	2		
98046	2		
99179	2	Uniontown	Whitman
99153	2	Metaline Falls	Pend Oreille
99103	2	Almira	Lincoln
99116	2	Coulee Dam	Okanogan
99321	2	Beverly	Grant
98496	2		
98540	2		
99113	2	Colton	Whitman
98668	2		
98547	2	Grayland	Grays Harbor
99140	2	Keller	Ferry
99115	1	Coulee City	Grant
98064	1		
98411	1		
98582	1	Salkum	Lewis
99181	1	Valley	Stevens
98829	1	Malott	Okanogan
98849	1	Riverside	Okanogan
99211	1		
98141	1		
98464	1		
98946	1	Thorp	Kittitas
99147	1		
98621	1	Grays River	Wahkiakum
98041	1		
99012	1	Fairfield	Spokane
98555	1	Lilliwaup	Mason
98361	1	Packwood	Lewis
98297	1	Waldron	San Juan
98381	1	Sekiu	Clallam
98384	1		
99371	1	Washtucna	Adams
98533	1	Cinebar	Lewis
99322	1	Bickleton	Klickitat
98941	1	Roslyn	Kittitas
99023	1	Mica	Spokane
99210	1		
98952	1	White Swan	Yakima
98670	1	Wahkiacus	Klickitat
98355	1	Mineral	Lewis
98556	1		
98071	1		
99033	1	Tekoa	Whitman
98923	1	Cowiche	Yakima
98287	1		
98093	1		
99121	1	Danville	Ferry
98448	1		
99129	1	Fruitland	Stevens
99032	1	Sprague	Lincoln
98581	1	Ryderwood	Cowlitz
98938	1	Outlook	Yakima
98293	1		
98401	1		
98393	1		
98259	1		
98593	1	Vader	Lewis
99150	1	Malo	Ferry
99160	1	Orient	Ferry
98817	1	Chelan Falls	Chelan
98175	1		
98811	1	Ardenvoir	Chelan
98587	1	Taholah	Grays Harbor
98222	1	Blakely Island	San Juan
98619	1	Glenwood	Klickitat
98324	1		
99176	1	Thornton	Whitman
98114	1		
98830	1	Mansfield	Douglas
98588	1	Tahuya	Mason
98628	1	Klickitat	Klickitat
99118	1	Curlew	Ferry
98530	1	Bucoda	Thurston
98256	1	Index	Snohomish
98616	1	Cougar	Cowlitz
98536	1	Copalis Crossing	Grays Harbor
98904	1		
99164	1		
98827	1	Loomis	Okanogan
98035	1		
98220	1	Acme	Whatcom
98195	1		
98527	1	Bay Center	Pacific
98431	1		
99105	1	Benge	Adams
